,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22
0,1.0,27,4,21,0,11,7,0,1,4,21,0,11,7,0,1
1,4.0,30,17,6,15,6,0,28,0,17,6,15,6,0,28,0
2,5.0,27,3,20,16,0,2,19,0,3,20,16,0,2,19,0
3,6.0,24,3,19,2,0,0,0,5,3,19,2,0,0,0,3
4,8.0,29,7,0,0,7,15,4,0,7,0,0,7,15,4,0
5,9.0,51,0,0,0,48,4,20,17,0,0,0,48,4,20,5
6,522.0,39,1,7,23,7,12,0,20,1,7,23,7,12,0,0
7,12.0,24,0,3,0,14,1,3,8,0,3,0,14,1,3,0
8,527.0,107,0,0,65,40,0,49,42,0,0,65,40,0,49,34
9,15.0,25,0,0,0,22,2,0,14,0,0,0,22,2,0,0
10,17.0,27,0,2,8,5,0,27,13,0,2,8,5,0,27,0
11,18.0,24,1,0,0,0,23,1,12,1,0,0,0,23,1,1
12,19.0,31,0,1,0,1,30,5,20,0,1,0,1,30,5,17
13,535.0,47,27,11,5,6,25,11,7,27,11,5,6,25,11,6
14,25.0,29,0,0,4,15,5,4,9,0,0,4,15,5,4,5
15,1051.0,156,0,0,3,148,7,7,91,0,0,3,148,7,7,71
16,1052.0,484,9,0,10,466,29,14,180,9,0,10,466,29,14,157
17,1053.0,356,3,3,0,312,32,6,32,3,3,0,312,32,6,9
18,30.0,28,2,21,1,4,11,0,18,2,21,1,4,11,0,4
19,29.0,27,3,21,2,8,0,3,7,3,21,2,8,0,3,7
20,28.0,28,0,18,10,0,20,1,24,0,18,10,0,20,1,2
21,33.0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,2
22,34.0,21,0,2,0,19,1,0,7,0,2,0,19,1,0,1
23,35.0,26,0,0,0,0,0,19,4,0,0,0,0,0,19,4
24,550.0,344,50,7,5,0,79,6,5,50,7,5,0,79,6,5
25,43.0,35,0,0,35,12,10,0,31,0,0,35,12,10,0,18
26,45.0,134,0,7,4,55,84,5,56,0,7,4,55,84,5,1
27,46.0,34,0,23,0,9,4,3,9,0,23,0,9,4,3,3
28,47.0,91,0,12,79,4,5,4,43,0,12,79,4,5,4,5
29,48.0,56,0,10,6,53,9,1,18,0,10,6,53,9,1,17
30,563.0,56,0,0,0,56,15,29,25,0,0,0,56,15,29,13
31,564.0,55,0,8,48,1,1,1,31,0,8,48,1,1,1,29
32,51.0,62,8,2,0,0,3,5,7,8,2,0,0,3,5,2
33,566.0,109,0,7,103,1,0,3,78,0,7,103,1,0,3,68
34,55.0,72,0,15,44,10,19,0,54,0,15,44,10,19,0,2
35,1078.0,57,0,20,0,42,10,38,6,0,20,0,42,10,38,4
36,57.0,33,0,32,0,0,0,0,19,0,32,0,0,0,0,2
37,62.0,178,0,0,62,103,3,0,154,0,0,62,103,3,0,153
38,68.0,67,0,0,65,2,1,0,17,0,0,65,2,1,0,1
39,1092.0,41,0,0,0,18,9,29,5,0,0,0,18,9,29,3
40,70.0,203,83,12,14,14,17,42,86,83,12,14,14,17,42,12
41,1094.0,57,0,0,0,29,29,14,20,0,0,0,29,29,14,19
42,72.0,34,2,0,21,10,0,0,16,2,0,21,10,0,0,0
43,69.0,175,58,41,6,20,11,26,26,58,41,6,20,11,26,26
44,1100.0,66,7,0,0,11,43,29,14,7,0,0,11,43,29,7
45,1110.0,48,0,35,0,45,1,0,26,0,35,0,45,1,0,12
46,1111.0,68,2,39,0,56,7,1,36,2,39,0,56,7,1,18
47,1112.0,78,1,70,0,3,1,0,25,1,70,0,3,1,0,0
48,1113.0,41,6,23,0,1,1,4,8,6,23,0,1,1,4,3
49,599.0,74,0,19,0,9,65,27,42,0,19,0,9,65,27,42
50,91.0,118,0,116,0,9,18,49,31,0,116,0,9,18,49,30
51,1116.0,99,0,86,73,9,38,7,62,0,86,73,9,38,7,29
52,93.0,31,0,0,9,25,0,0,7,0,0,9,25,0,0,0
53,94.0,55,7,48,0,39,6,0,8,7,48,0,39,6,0,4
54,95.0,31,0,10,12,3,0,0,1,0,10,12,3,0,0,0
55,1119.0,136,6,104,5,5,0,3,29,6,104,5,5,0,3,4
56,97.0,53,4,27,19,11,12,6,37,4,27,19,11,12,6,14
57,98.0,64,2,13,0,2,0,63,50,2,13,0,2,0,63,1
58,223.0,32,0,0,30,1,6,0,3,0,0,30,1,6,0,0
59,1120.0,41,3,30,1,0,0,0,10,3,30,1,0,0,0,1
60,1124.0,355,10,320,11,25,4,4,179,10,320,11,25,4,4,138
61,102.0,59,19,24,2,1,42,8,6,19,24,2,1,42,8,2
62,1123.0,96,12,64,0,0,6,0,25,12,64,0,0,6,0,16
63,99.0,39,39,7,1,6,25,6,8,39,7,1,6,25,6,8
64,1129.0,114,11,96,0,33,13,0,110,11,96,0,33,13,0,0
65,732.0,62,32,0,7,34,14,1,21,32,0,7,34,14,1,15
66,1131.0,188,0,185,0,7,3,1,103,0,185,0,7,3,1,6
67,1132.0,43,7,32,0,0,1,0,1,7,32,0,0,1,0,0
68,1133.0,51,0,46,0,0,2,0,10,0,46,0,0,2,0,5
69,1134.0,223,0,202,30,1,1,0,25,0,202,30,1,1,0,6
70,1135.0,263,0,211,5,10,4,0,45,0,211,5,10,4,0,14
71,1136.0,706,0,406,29,95,20,9,165,0,406,29,95,20,9,40
72,1137.0,116,14,69,1,0,0,0,28,14,69,1,0,0,0,26
73,626.0,40,0,38,0,5,0,5,2,0,38,0,5,0,5,1
74,734.0,62,1,8,57,1,42,4,6,1,8,57,1,42,4,5
75,116.0,183,15,0,170,15,110,23,100,15,0,170,15,110,23,100
76,118.0,139,0,36,57,13,0,2,24,0,36,57,13,0,2,19
77,119.0,60,0,9,15,11,0,0,30,0,9,15,11,0,0,28
78,120.0,99,0,23,73,0,2,0,77,0,23,73,0,2,0,77
79,1145.0,102,16,73,0,6,12,0,24,16,73,0,6,12,0,13
80,432.0,96,0,94,0,0,4,0,26,0,94,0,0,4,0,21
81,130.0,32,18,12,17,0,4,1,10,18,12,17,0,4,1,0
82,433.0,141,4,115,9,1,33,21,27,4,115,9,1,33,21,24
83,644.0,43,34,5,5,6,29,7,20,34,5,5,6,29,7,8
84,1157.0,48,0,0,37,11,35,15,26,0,0,37,11,35,15,7
85,1158.0,51,1,2,9,9,40,2,8,1,2,9,9,40,2,8
86,1159.0,79,0,0,4,76,8,9,10,0,0,4,76,8,9,10
87,1161.0,30,0,8,2,15,4,13,18,0,8,2,15,4,13,12
88,139.0,273,1,93,167,14,127,38,190,1,93,167,14,127,38,188
89,652.0,63,20,28,37,4,6,53,9,20,28,37,4,6,53,2
90,1165.0,31,0,0,2,28,11,8,7,0,0,2,28,11,8,7
91,1166.0,59,0,0,0,52,6,23,8,0,0,0,52,6,23,7
92,1167.0,33,0,0,0,0,0,0,9,0,0,0,0,0,0,0
93,1168.0,113,1,0,1,64,78,0,53,1,0,1,64,78,0,48
94,653.0,37,0,2,7,18,2,2,0,0,2,7,18,2,2,0
95,657.0,29,0,21,4,1,5,15,8,0,21,4,1,5,15,2
96,436.0,48,0,44,3,15,0,9,2,0,44,3,15,0,9,2
97,662.0,75,0,5,59,12,9,23,31,0,5,59,12,9,23,3
98,663.0,57,0,1,0,51,3,6,8,0,1,0,51,3,6,2
99,664.0,51,8,28,1,47,11,5,42,8,28,1,47,11,5,35
100,665.0,172,6,37,100,65,60,54,83,6,37,100,65,60,54,22
101,666.0,71,11,3,3,59,11,34,30,11,3,3,59,11,34,5
102,437.0,81,50,27,0,5,2,1,6,50,27,0,5,2,1,5
103,668.0,128,84,23,1,4,12,0,15,84,23,1,4,12,0,9
104,669.0,52,0,0,0,52,9,13,17,0,0,0,52,9,13,12
105,670.0,87,0,3,0,6,83,7,14,0,3,0,6,83,7,11
106,671.0,46,0,0,37,0,0,5,0,0,0,37,0,0,5,0
107,672.0,114,3,74,36,84,10,40,44,3,74,36,84,10,40,35
108,674.0,61,1,0,22,46,7,6,28,1,0,22,46,7,6,0
109,676.0,53,0,50,6,8,10,0,0,0,50,6,8,10,0,0
110,166.0,75,0,0,37,10,2,0,10,0,0,37,10,2,0,0
111,680.0,107,0,6,88,7,17,2,32,0,6,88,7,17,2,29
112,681.0,103,43,9,57,81,2,51,49,43,9,57,81,2,51,48
113,687.0,54,0,0,0,16,38,18,31,0,0,0,16,38,18,27
114,688.0,87,1,0,0,2,74,14,61,1,0,0,2,74,14,51
115,689.0,60,0,2,0,41,18,10,27,0,2,0,41,18,10,15
116,690.0,66,0,8,0,3,61,4,46,0,8,0,3,61,4,40
117,691.0,3,0,1,2,0,0,0,2,0,1,2,0,0,0,0
118,177.0,82,0,17,9,44,1,0,12,0,17,9,44,1,0,7
119,693.0,12,0,2,1,10,5,0,1,0,2,1,10,5,0,0
120,696.0,68,0,8,21,29,33,11,6,0,8,21,29,33,11,6
121,697.0,44,8,6,34,1,10,8,21,8,6,34,1,10,8,18
122,1210.0,101,0,7,9,78,9,0,52,0,7,9,78,9,0,10
123,699.0,170,8,11,67,78,22,6,53,8,11,67,78,22,6,3
124,1212.0,145,0,6,5,133,23,0,58,0,6,5,133,23,0,43
125,1213.0,31,0,0,0,18,5,0,3,0,0,0,18,5,0,0
126,1214.0,85,0,0,0,81,3,0,29,0,0,0,81,3,0,0
127,1215.0,47,0,1,0,40,1,0,4,0,1,0,40,1,0,1
128,1211.0,196,0,13,0,155,18,1,46,0,13,0,155,18,1,6
129,698.0,1094,145,406,119,111,181,59,371,145,406,119,111,181,59,134
