,Unnamed: 0,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22,M7_16,M7_17,M7_18,M7_19,M7_20,M7_21,M7_22,Mb6_16,Mb6_17,Mb6_18,Mb6_19,Mb6_20,Mb6_21,Mb6_22
0,0,1.0,27,0,16,0,6,0,0,1,0,16,0,6,0,0,1,0.0,0.024917234,0.0,-0.014921816,0.0,0.0,0.0017405465,0.0,0.036193863,0.0,-0.020403696,0.0,0.0,0.0009306735
1,1,4.0,30,8,5,8,2,2,24,0,8,5,8,2,2,24,0,0.02903253,0.008905058,0.02538044,-0.00832854,-0.006170626,-0.0911175,0.0,0.04411735,0.0136852525,0.030569449,-0.007354736,-0.0048874295,-0.1626328,0.0
2,2,5.0,27,2,21,22,1,0,21,1,2,21,22,1,0,21,0,0.0063774223,0.058705308,0.13802032,-0.002606232,0.0,-0.041293975,0.0,0.010083511,0.08530328,0.17309761,-0.0034185837,0.0,-0.1151681,0.0
3,3,6.0,24,0,22,1,8,0,0,11,0,22,1,8,0,0,10,0.0,0.08231381,0.001731183,0.024511889,0.0,0.0,0.020558344,0.0,0.12661354,0.00198663,0.029192703,0.0,0.0,0.028999327
4,4,8.0,29,1,0,0,1,10,0,2,1,0,0,1,10,0,1,0.00079906435,0.0,0.0,0.0009785483,0.015346057,0.0,0.0008205719,0.0011707149,0.0,0.0,0.0013648992,0.02603597,0.0,0.0013516687
5,5,9.0,51,0,0,0,46,7,2,5,0,0,0,46,7,2,5,0.0,0.0,0.0,0.07839271,0.0012385327,-0.0022859008,0.0013017349,0.0,0.0,0.0,0.10661617,0.0015405676,-0.0032555233,0.002211833
6,6,522.0,39,0,0,31,4,25,0,17,0,0,31,4,25,0,0,0.0,0.0,0.052036732,0.0062663117,-0.059891663,0.0,0.0,0.0,0.0,0.095863774,0.0072592944,-0.058307033,0.0,0.0
7,7,12.0,24,0,5,0,13,1,2,3,0,5,0,13,1,2,0,0.0,0.014062723,0.0,0.020416258,0.0011250488,-0.002983546,0.0,0.0,0.015949368,0.0,0.03052417,0.0023042941,-0.0035928332,0.0
8,8,527.0,107,0,0,69,36,0,49,41,0,0,69,36,0,49,36,0.0,0.0,0.048811257,0.027992109,0.0,0.02701123,0.021535533,0.0,0.0,0.07035855,0.038374558,0.0,0.019130599,0.021366803
9,9,15.0,25,0,0,0,22,3,3,14,0,0,0,22,3,3,0,0.0,0.0,0.0,0.033560358,0.00531889,-0.006644444,0.0,0.0,0.0,0.0,0.04780531,0.007921694,-0.011176878,0.0
