,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22
0,1.0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9.0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12.0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14.0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16.0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17.0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18.0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21.0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22.0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23.0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24.0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25.0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27.0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28.0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29.0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30.0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
